"","structure","correlation","num_dim","replicate","factor","pearson","spearman","theta_cor"
"88","Simple",0.3,3,3,"F2",0.9875,0.9983,0.8397
"89","Simple",0.3,3,3,"F3",0.9885,0.9974,0.8232
"90","Simple",0.3,3,4,"F1",0.9877,0.9986,0.834
"91","Simple",0.3,3,4,"F2",0.9907,0.9973,0.7754
"92","Simple",0.3,3,4,"F3",0.9866,0.9986,0.8441
"93","Simple",0.3,3,5,"F1",0.9891,0.9987,0.8239
"94","Simple",0.3,3,5,"F2",0.9881,0.9984,0.8187
"95","Simple",0.3,3,5,"F3",0.9895,0.9987,0.8127
"96","Simple",0.3,3,6,"F1",0.9898,0.9975,0.7834
"97","Simple",0.3,3,6,"F2",0.9895,0.9976,0.7903
"98","Simple",0.3,3,6,"F3",0.9848,0.9983,0.8456
"99","Simple",0.3,3,7,"F1",0.9886,0.9976,0.7978
"100","Simple",0.3,3,7,"F2",0.9882,0.9991,0.8265
"101","Simple",0.3,3,7,"F3",0.9901,0.9974,0.7962
"102","Simple",0.3,3,8,"F1",0.988,0.9985,0.8262
"103","Simple",0.3,3,8,"F2",0.9861,0.9986,0.8393
"104","Simple",0.3,3,8,"F3",0.9867,0.9986,0.8374
"105","Simple",0.3,3,9,"F1",0.9866,0.9973,0.8235
"106","Simple",0.3,3,9,"F2",0.9866,0.9986,0.8445
"107","Simple",0.3,3,9,"F3",0.9871,0.9984,0.8507
"108","Simple",0.3,3,10,"F1",0.9829,0.9988,0.8676
"109","Simple",0.3,3,10,"F2",0.9879,0.9979,0.8263
"110","Simple",0.3,3,10,"F3",0.9858,0.9984,0.8334
"111","Simple",0.3,5,1,"F1",0.9864,0.9905,0.7217
"112","Simple",0.3,5,1,"F2",0.989,0.9958,0.7813
"113","Simple",0.3,5,1,"F3",0.989,0.9954,0.7873
"114","Simple",0.3,5,1,"F4",0.9906,0.9968,0.7626
"115","Simple",0.3,5,1,"F5",0.984,0.9878,0.7078
"116","Simple",0.3,5,2,"F1",0.9891,0.9939,0.7682
"117","Simple",0.3,5,2,"F2",0.9885,0.9962,0.7825
"118","Simple",0.3,5,2,"F3",0.9881,0.9971,0.8342
"119","Simple",0.3,5,2,"F4",0.9882,0.9967,0.7904
"120","Simple",0.3,5,2,"F5",0.9871,0.9911,0.7138
"121","Simple",0.3,5,3,"F1",0.9875,0.9937,0.7475
"122","Simple",0.3,5,3,"F2",0.9887,0.9953,0.7674
"123","Simple",0.3,5,3,"F3",0.9893,0.9947,0.7304
"124","Simple",0.3,5,3,"F4",0.9875,0.9934,0.7419
"125","Simple",0.3,5,3,"F5",0.9893,0.9975,0.8099
"126","Simple",0.3,5,4,"F1",0.9897,0.9967,0.7975
"127","Simple",0.3,5,4,"F2",0.9888,0.9953,0.7922
"128","Simple",0.3,5,4,"F3",0.9877,0.9945,0.7575
"129","Simple",0.3,5,4,"F4",0.9691,0.969,0.6016
"130","Simple",0.3,5,4,"F5",0.9882,0.9955,0.8022
"131","Simple",0.3,5,5,"F1",0.9886,0.995,0.7617
"132","Simple",0.3,5,5,"F2",0.9893,0.995,0.7766
"133","Simple",0.3,5,5,"F3",0.9899,0.996,0.7498
"134","Simple",0.3,5,5,"F4",0.986,0.9912,0.7213
"135","Simple",0.3,5,5,"F5",0.9883,0.997,0.797
"136","Simple",0.3,5,6,"F1",0.9883,0.9928,0.711
"137","Simple",0.3,5,6,"F2",0.9886,0.9953,0.7762
"138","Simple",0.3,5,6,"F3",0.9901,0.9971,0.8002
"139","Simple",0.3,5,6,"F4",0.9904,0.9949,0.7311
"140","Simple",0.3,5,6,"F5",0.9889,0.9954,0.7947
"141","Simple",0.3,5,7,"F1",0.9905,0.997,0.772
"142","Simple",0.3,5,7,"F2",0.9875,0.9919,0.7235
"143","Simple",0.3,5,7,"F3",0.9899,0.9961,0.7689
"144","Simple",0.3,5,7,"F4",0.9873,0.9918,0.6976
"145","Simple",0.3,5,7,"F5",0.9884,0.9945,0.7522
"146","Simple",0.3,5,8,"F1",0.9886,0.9946,0.7268
"147","Simple",0.3,5,8,"F2",0.989,0.9956,0.775
"148","Simple",0.3,5,8,"F3",0.9897,0.9953,0.7812
"149","Simple",0.3,5,8,"F4",0.9875,0.9922,0.762
"150","Simple",0.3,5,8,"F5",0.9859,0.9921,0.7358
"151","Simple",0.3,5,9,"F1",0.988,0.9951,0.7631
"152","Simple",0.3,5,9,"F2",0.9902,0.9933,0.7414
"153","Simple",0.3,5,9,"F3",0.9798,0.98,0.6935
"154","Simple",0.3,5,9,"F4",0.9895,0.9955,0.7825
"155","Simple",0.3,5,9,"F5",0.9881,0.9958,0.81
"156","Simple",0.3,5,10,"F1",0.9872,0.9968,0.8208
"157","Simple",0.3,5,10,"F2",0.9881,0.9937,0.761
"158","Simple",0.3,5,10,"F3",0.9889,0.9962,0.792
"159","Simple",0.3,5,10,"F4",0.988,0.9962,0.7976
"160","Simple",0.3,5,10,"F5",0.9872,0.9918,0.7293
"161","Simple",0.6,3,1,"F1",0.98,0.9951,0.8557
"162","Simple",0.6,3,1,"F2",0.9768,0.9963,0.8734
"163","Simple",0.6,3,1,"F3",0.9769,0.9972,0.8847
"164","Simple",0.6,3,2,"F1",0.9744,0.9895,0.8232
"165","Simple",0.6,3,2,"F2",0.9772,0.9972,0.877
"166","Simple",0.6,3,2,"F3",0.9803,0.9969,0.871
"167","Simple",0.6,3,3,"F1",0.9809,0.9953,0.8522
"168","Simple",0.6,3,3,"F2",0.9796,0.9959,0.8629
"169","Simple",0.6,3,3,"F3",0.981,0.9956,0.8466
"170","Simple",0.6,3,4,"F1",0.9798,0.9952,0.8647
"171","Simple",0.6,3,4,"F2",0.9808,0.9945,0.8545
"172","Simple",0.6,3,4,"F3",0.9746,0.9955,0.8645
"173","Simple",0.6,3,5,"F1",0.9775,0.9948,0.849
"174","Simple",0.6,3,5,"F2",0.9761,0.9967,0.8846
"175","Simple",0.6,3,5,"F3",0.9785,0.9961,0.8704
"176","Simple",0.6,3,6,"F1",0.9806,0.9966,0.8698
"177","Simple",0.6,3,6,"F2",0.9798,0.992,0.823
"178","Simple",0.6,3,6,"F3",0.9813,0.9963,0.8711
"179","Simple",0.6,3,7,"F1",0.9776,0.9938,0.8435
"180","Simple",0.6,3,7,"F2",0.9788,0.9966,0.8671
"181","Simple",0.6,3,7,"F3",0.9777,0.9947,0.8608
"182","Simple",0.6,3,8,"F1",0.9801,0.9939,0.8535
"183","Simple",0.6,3,8,"F2",0.9794,0.9953,0.8604
"184","Simple",0.6,3,8,"F3",0.9766,0.9959,0.8749
"185","Simple",0.6,3,9,"F1",0.978,0.9953,0.8596
"186","Simple",0.6,3,9,"F2",0.9778,0.9955,0.8537
"187","Simple",0.6,3,9,"F3",0.9798,0.9962,0.8663
"188","Simple",0.6,3,10,"F1",0.9795,0.9948,0.8414
"189","Simple",0.6,3,10,"F2",0.9792,0.994,0.838
