"","structure","correlation","num_dim","replicate","factor","pearson","spearman","theta_cor"
"422","Complex",0.6,3,8,"F1",0.967,0.9876,0.8859
"423","Complex",0.6,3,8,"F2",0.9713,0.9899,0.8738
"424","Complex",0.6,3,8,"F3",0.9671,0.9858,0.8869
"425","Complex",0.6,3,9,"F1",0.9702,0.99,0.8913
"426","Complex",0.6,3,9,"F2",0.9726,0.9883,0.8565
"427","Complex",0.6,3,9,"F3",0.9689,0.9812,0.8678
"428","Complex",0.6,3,10,"F1",0.9614,0.9899,0.8967
"429","Complex",0.6,3,10,"F2",0.9747,0.9888,0.8714
"430","Complex",0.6,3,10,"F3",0.9709,0.9889,0.8886
"431","Complex",0.6,5,1,"F1",0.9677,0.9806,0.8744
"432","Complex",0.6,5,1,"F2",0.9724,0.9883,0.8618
"433","Complex",0.6,5,1,"F3",0.963,0.9841,0.8686
"434","Complex",0.6,5,1,"F4",0.9671,0.9822,0.8504
"435","Complex",0.6,5,1,"F5",0.9714,0.991,0.8518
"436","Complex",0.6,5,2,"F1",0.9744,0.9898,0.8503
"437","Complex",0.6,5,2,"F2",0.9689,0.9808,0.8161
"438","Complex",0.6,5,2,"F3",0.9724,0.9905,0.8687
"439","Complex",0.6,5,2,"F4",0.9693,0.9851,0.8612
"440","Complex",0.6,5,2,"F5",0.9709,0.9898,0.8498
"441","Complex",0.6,5,3,"F1",0.9735,0.9873,0.8704
"442","Complex",0.6,5,3,"F2",0.9744,0.9827,0.8352
"443","Complex",0.6,5,3,"F3",0.9749,0.9887,0.862
"444","Complex",0.6,5,3,"F4",0.9732,0.9861,0.8375
"445","Complex",0.6,5,3,"F5",0.968,0.9837,0.8514
"446","Complex",0.6,5,4,"F1",0.9724,0.9887,0.8542
"447","Complex",0.6,5,4,"F2",0.9738,0.988,0.8404
"448","Complex",0.6,5,4,"F3",0.9717,0.9908,0.8562
"449","Complex",0.6,5,4,"F4",0.9732,0.9887,0.8546
"450","Complex",0.6,5,4,"F5",0.9722,0.9877,0.8699
"451","Complex",0.6,5,5,"F1",0.9702,0.9848,0.8455
"452","Complex",0.6,5,5,"F2",0.9621,0.9763,0.8386
"453","Complex",0.6,5,5,"F3",0.9695,0.9871,0.8398
"454","Complex",0.6,5,5,"F4",0.9742,0.9898,0.8693
"455","Complex",0.6,5,5,"F5",0.9688,0.9867,0.8486
"456","Complex",0.6,5,6,"F1",0.9685,0.979,0.84
"457","Complex",0.6,5,6,"F2",0.9732,0.9879,0.8564
"458","Complex",0.6,5,6,"F3",0.9691,0.9832,0.8589
"459","Complex",0.6,5,6,"F4",0.9756,0.988,0.8542
"460","Complex",0.6,5,6,"F5",0.9747,0.988,0.8451
"461","Complex",0.6,5,7,"F1",0.9701,0.9886,0.8545
"462","Complex",0.6,5,7,"F2",0.9594,0.9765,0.8598
"463","Complex",0.6,5,7,"F3",0.9739,0.9903,0.866
"464","Complex",0.6,5,7,"F4",0.968,0.9865,0.8737
"465","Complex",0.6,5,7,"F5",0.9588,0.9808,0.8435
"466","Complex",0.6,5,8,"F1",0.9721,0.9896,0.8633
"467","Complex",0.6,5,8,"F2",0.973,0.9892,0.8715
"468","Complex",0.6,5,8,"F3",0.9732,0.9828,0.8246
"469","Complex",0.6,5,8,"F4",0.973,0.9884,0.8595
"470","Complex",0.6,5,8,"F5",0.9689,0.9811,0.8272
"471","Complex",0.6,5,9,"F1",0.9698,0.983,0.8607
"472","Complex",0.6,5,9,"F2",0.974,0.988,0.8447
"473","Complex",0.6,5,9,"F3",0.9723,0.9871,0.8558
"474","Complex",0.6,5,9,"F4",0.9655,0.9816,0.8486
"475","Complex",0.6,5,9,"F5",0.9758,0.9915,0.8679
"476","Complex",0.6,5,10,"F1",0.9741,0.983,0.845
"477","Complex",0.6,5,10,"F2",0.9713,0.984,0.8466
"478","Complex",0.6,5,10,"F3",0.9784,0.9912,0.8779
"479","Complex",0.6,5,10,"F4",0.9777,0.9908,0.8712
"480","Complex",0.6,5,10,"F5",0.9717,0.9839,0.8507
